,1d,1d_prc,prc_volume
1607,-11.56,-0.247431507,0.044953392
1608,-11.06,-0.23929035,-0.356803373
1609,-11.22,-0.241914618,-0.43276323299999997
1610,-10.21,-0.225038572,-0.174198322
1611,-6.45,-0.155010815,-0.220062315
1612,-7.37,-0.17328944300000002,-0.10281926400000001
1613,-6.06,-0.147016012,-0.23072025300000001
1614,-6.53,-0.156632286,1.02921297
1615,-2.13,-0.057119870999999996,-0.725172892
1616,-2.15,-0.057625302,-0.65387988
1617,-1.22,-0.033534909,-0.5414530129999999
1618,-11.14,-0.274654832,-0.21765587399999997
1619,-18.64,-0.38784852299999995,0.093056769
1620,-17.57,-0.37390934200000003,1.006596095
1621,-19.06,-0.393151815,-0.41805722799999995
1622,-18.33,-0.38387434600000003,2.442203808
1623,-17.59,-0.374175707,0.966181269
1624,-18.05,-0.38024015200000005,0.509757191
1625,-20.28,-0.40804829,1.133323864
1626,-19.38,-0.397131148,1.232355362
1627,-16.26,-0.355954466,-0.223258275
1628,-13.47,-0.314059221,-0.479244105
1629,-11.66,-0.283836417,-0.17875914899999998
1630,-10.11,-0.25575512300000003,-0.09885627300000001
1631,-0.15,-0.005072709,-0.585878335
1632,9.43,0.47173586799999995,-0.34513383
1633,9.31,0.462953754,-0.640690125
1634,10.48,0.553326294,-0.596807781
1635,5.7,0.240303541,-0.652569934
1636,6.44,0.28024369,-0.562100659
1637,3.42,0.131538462,-0.382497944
1638,4.78,0.193993506,-0.207815467
1639,4.07,0.160552268,-0.5386535920000001
1640,2.18,0.080029369,-0.176403442
1641,2.83,0.106430989,-0.519132555
1642,4.58,0.184380032,-0.389869375
1643,1.55,0.055615357000000004,0.23555119600000002
1644,-1.25,-0.04075644,-0.024376374
1645,-0.53,-0.01769616,0.479552895
1646,1.55,0.055615357000000004,-0.685702189
1647,1.29,0.045858514,-0.230119085
1648,-2.56,-0.080050031,-0.29306322
1649,-80.26,-0.252152058,-0.172027092
1650,-78.66,-0.248373855,0.053830049000000005
1651,-79.41,-0.25014963,0.37078093700000003
1652,-88.83,-0.271759415,0.19763471
1653,-90.81,-0.276144139,0.17603161
1654,-68.72,-0.224018777,-0.6968255090000001
1655,-75.64,-0.241137465,-0.36894542799999996
1656,-82.53,-0.257447671,-0.094606534
1657,-79.35,-0.250007877,-0.346536846
1658,-70.88,-0.22944451600000002,-0.243821937
1659,-44.0,-0.15600624,-0.528761616
1660,-28.37,-0.10648999699999999,-0.526152142
1661,2.58,0.010957275,-0.615324792
1662,27.13,0.128633066,-0.611018808
1663,51.01,0.272736994,-0.569886906
1664,25.68,0.12092672800000001,-0.624955898
1665,2.45,0.010399423,-0.25840320699999997
1666,5.21,0.022376841,0.059866852000000005
1667,6.29,0.027141316000000002,-0.075657575
1668,-1.96,-0.008166666999999999,-0.509023883
1669,22.89,0.10639089,-0.395097641
1670,-1.8,-0.0075050030000000005,0.137345074
1671,-9.87,-0.039812835,-0.055377398
1672,-9.87,-0.039812835,-0.055377398
1673,-8.35,-0.033889362,-0.35344918799999997
1674,-16.8,-0.065923717,0.11985604400000001
1675,-11.06,-0.044399839,0.165817439
1676,-20.12,-0.077936164,0.561870865
1677,-24.14,-0.09207414800000001,1.1493500779999999
1678,-21.3,-0.082131565,0.135646981
1679,-21.45,-0.082662145,0.603955014
1680,-24.96,-0.094904943,0.363138192
1681,-2.57,-0.010681185,-0.621618395
1682,-2.24,-0.009322457,-0.314403605
1683,-7.4,-0.030149935,-0.462704654
1684,-5.66,-0.023225277000000003,-0.14439695
1685,-9.96,-0.04016129,0.002589338
1686,18.31,0.203060885,-0.48516325
1687,14.86,0.15872676800000002,-0.647730763
1688,11.95,0.123795711,0.520269058
1689,12.65,0.132004591,-0.21844774600000003
1690,9.67,0.097864589,-0.547504078
1691,11.54,0.119042707,-0.667301276
1692,10.88,0.11147541,-0.743145046
1693,9.68,0.09797570900000001,-0.151625191
1694,8.47,0.084691531,0.9864453129999999
1695,10.27,0.104571836,-0.26926595600000003
1696,11.34,0.11673872800000001,-0.300348544
1697,12.64,0.131886477,-0.326227228
1698,7.71,0.076510866,-0.553300637
1699,1.67,0.01563524,-0.734402855
1700,7.13,0.07035027099999999,-0.42576832600000003
1701,26.08,0.316504854,-0.40365875100000004
1702,49.27,0.8321229520000001,-0.739271096
1703,40.47,0.59505955,-0.582972733
1704,29.09,0.36641894399999997,-0.620830123
1705,34.64,0.469122427,-0.6164450029999999
1706,22.2,0.257301808,-0.351433734
1707,24.75,0.295592977,0.067966398
1708,21.51,0.24732666399999997,-0.270750478
1709,19.25,0.21573461800000002,-0.119428571
1710,19.39,0.21764507800000002,-0.482456111
1711,16.92,0.184796855,-0.503388672
1712,19.71,0.222034471,-0.16736799
1713,17.03,0.18622197899999998,0.37906440700000005
1714,15.61,0.16808441899999998,0.219496403
1715,12.7,0.132595531,-0.116112399
1716,7.03,0.069295219,-0.20073870300000002
1717,5.74,0.055869184,-0.278680851
1718,8.52,0.08523409400000001,-0.244196185
1719,9.83,0.09964521,0.009822935999999999
1720,11.17,0.11478779199999999,-0.164975369
1721,9.43,0.09520444199999999,-0.19184743699999998
1722,10.59,0.108182654,-0.20031974800000002
1723,8.29,0.082742789,-0.005320293
1724,3.33,0.031669044,0.48548198600000003
1725,2.74,0.025912616,-0.229208033
1726,0.94,0.008740934,-0.30258742899999996
1727,1.47,0.013737033999999999,-0.37315254200000003
1728,1.15,0.010714618,0.635144695
1729,-0.11,-0.001012985,0.16146935699999998
1730,-0.21,-0.0019320999999999997,0.644397736
1731,1.62,0.015160021999999999,0.086409115
1732,3.37,0.13817138199999998,-0.045865903
1733,3.51,0.144742268,-0.052239417999999996
1734,1.97,0.07638619599999999,0.27017727399999997
1735,1.01,0.037757009,0.23802505399999999
1736,0.04,0.001443001,0.179047227
1737,2.41,0.09506903400000001,-0.198134408
1738,2.95,0.118903668,0.784353132
1739,3.33,0.136307818,0.214315736
1740,3.35,0.137238837,-0.26497025
1741,2.96,0.119354839,-0.208673036
1742,2.24,0.087774295,0.509230121
1743,3.9,0.163453479,0.222082552
1744,0.62,0.02284451,0.521730912
1745,-0.78,-0.027330062999999998,-0.176476065
1746,-1.14,-0.039446367,0.934675307
1747,-3.66,-0.11648631400000001,-0.379325191
1748,-1.72,-0.05834464,-0.014704345
1749,0.37,0.01350858,-0.155759397
1750,-0.86,-0.030048917,0.093486456
1751,0.39,0.014249178000000001,-0.037017674
1752,2.22,0.086922475,-0.452148947
1753,1.19,0.044787354,-0.008980636
1754,1.07,0.040089921,-0.226192559
1755,2.92,0.117552335,-0.134392027
1756,1.73,0.066461775,-0.011305368
1757,2.71,0.108183633,-0.301036972
1758,3.15,0.127996749,-0.04370103400000001
1759,2.62,0.10421638800000001,0.239953275
1760,1.27,0.04794262,0.684709617
1761,3.12,0.12662337699999998,-0.254647873
1762,3.03,0.122523251,-0.106098185
1763,0.27,0.009821753,0.066389344
1764,0.25,0.009087605,-0.20569037199999998
1765,1.37,0.052111069,0.518455436
1766,1.01,0.037898687,0.036607602
1767,3.09,0.125763126,0.047482662
1768,3.01,0.122109533,-0.011498846
1769,1.49,0.056935422,0.061510133
1770,0.74,0.027488856000000002,-0.266540173
1771,-0.48,-0.017057568999999998,-0.191579634
1772,2.0,0.077942323,-0.314477141
1773,2.87,0.115772489,-0.018645481000000002
1774,3.05,0.12393336,-0.227168481
1775,2.62,0.10463258800000001,-0.488789785
1776,3.34,0.13733552599999999,-0.085214624
1777,0.08,0.002900653,0.287214268
1778,0.27,0.009857612,0.410145306
1779,-1.75,-0.05950357,-0.213425936
1780,-1.27,-0.043899067,-0.006509998
1781,-1.64,-0.055972695999999995,0.6836574790000001
1782,-4.55,-0.141260478,-0.245283365
1783,-2.23,-0.07460689200000001,-0.04032185
1784,-0.17,-0.006108516,-0.294879469
1785,-1.39,-0.047848537000000003,-0.151099961
1786,2.17,0.085131424,-0.43573115100000004
1787,0.98,0.036731634,-0.104445235
1788,0.95,0.035567203,0.115205531
1789,2.91,0.117575758,-0.28471594100000003
1790,1.82,0.070433437,-0.224513545
1791,2.59,0.10331073,-0.18236555100000001
1792,3.1,0.12622149800000002,0.081014757
1793,2.47,0.098054784,-0.15457297
1794,1.21,0.045746692,-0.239618673
1795,3.14,0.128058728,-0.455489178
1796,3.2,0.130825838,-0.479435644
1797,0.22,0.008017493,0.034129964
1798,0.31,0.011334552,-0.336297498
1799,7.87,0.07378586200000001,-0.496981147
1800,5.62,0.05160224,-0.312789225
1801,5.52,0.05063755599999999,-0.571390228
1802,6.11,0.056354916,-0.059701909000000004
1803,2.35,0.020948476,-0.386350743
1804,-0.78,-0.006764374,-0.224108809
1805,0.84,0.007388513,-0.605675842
1806,-3.9,-0.032930845,-0.663207805
1807,-1.96,-0.016825478999999997,-0.545114016
1808,4.06,0.036752059,-0.48479926
1809,-1.67,-0.014371773000000001,0.127562951
1810,-1.85,-0.015896201999999998,-0.430907394
1811,4.96,0.045267865,-0.443712101
1812,7.11,0.066188792,-0.319073798
1813,19.97,0.211188663,-0.661301703
1814,32.49,0.396026329,-0.779852511
1815,21.46,0.230579134,-0.45381866299999996
1816,19.69,0.207612822,-0.350630768
1817,14.12,0.14062344400000001,-0.249920347
1818,18.52,0.19289657300000002,-0.512750723
1819,10.16,0.097345981,-0.561529033
1820,-3.59,-0.030392821,-0.49992737200000004
1821,10.1,0.09671550300000001,-0.202164216
1822,11.11,0.10742603,-0.260744632
1823,9.24,0.087757622,-0.191996215
1824,0.85,0.007477129,-0.172683463
1825,1.59,0.014078272,0.059819595999999996
1826,-3.06,-0.026022621,0.598858926
1827,0.26,0.0022753129999999997,0.38273159100000004
1828,-0.31,-0.002699408,0.269514274
1829,-44.51,-0.35166311100000003,0.857310606
1830,-43.09,-0.344306832,0.608769627
1831,-44.38,-0.35099652,0.824241297
1832,-43.74,-0.347694754,1.815676784
1833,-47.15,-0.364909837,-0.006279676
1834,-48.53,-0.371621104,0.72175069
1835,-50.02,-0.378709873,0.866400218
1836,-51.04,-0.38347107399999997,1.096067176
1837,-52.48,-0.390069868,1.092234075
1838,-54.89,-0.400803213,0.8194063079999999
1839,-49.53,-0.37639638299999995,0.105769974
1840,-47.79,-0.368040046,0.741405378
1841,-45.95,-0.35895633200000004,1.339679618
1842,-41.99,-0.338492543,0.416261605
1843,-40.48,-0.330341113,0.646191847
1844,-41.32,-0.334900308,0.44457491600000004
1845,-40.96,-0.332953991,0.317585413
1846,-42.0,-0.338545865,0.233534591
1847,-44.38,-0.35099652,1.040005944
1848,-45.67,-0.35755108399999996,1.7447501
1849,-41.24,-0.334468775,1.211539948
1850,-40.23,-0.328972115,-0.331194466
1851,-43.24,-0.34509178,0.666574411
1852,-43.79,-0.34795391299999995,1.4472798569999998
1853,-43.11,-0.3444116,0.289130516
1854,-39.23,-0.32343969,-0.302234194
1855,-42.39,-0.34061872200000004,0.648959885
1856,-28.79,-0.259720343,-0.190206441
1857,10.44,0.145769338,-0.238702451
1858,16.18,0.24559805699999998,-0.481485006
